,GraphNo,p-,q-,p+,q+
0,1.0,-0.00138446800281,1.7829450528,4.97095095557,6.75528047638
1,2.0,-0.0016414831265,1.91979358502,5.61687212167,7.53830718982
2,3.0,-0.00171708485469,1.95734974937,5.8007585968,7.75982543102
3,4.0,-0.00230445241026,2.21761273383,7.15355996288,9.37347714912
4,5.0,-0.00230445241026,2.21761273383,7.15355996288,9.37347714912
5,6.0,-0.00144266065825,1.81529618339,5.12023078794,6.936969632
6,7.0,-0.0016414831265,1.91979358502,5.61687212167,7.53830718982
7,8.0,-0.00188499040002,2.03704589908,6.20043057229,8.23936146177
8,9.0,-0.00179808175247,1.99640341697,5.99500425638,7.9932057551
9,10.0,-0.00150466437984,1.84884219171,5.27725786267,7.12760471876
