,GraphNo,p-,q-,p+,q+
0,1.0,-3.93719996658e-05,2.77000435837,10.4433027342,13.2133464646
1,2.0,-5.80757577392e-05,3.23612980298,13.7092982834,16.9454861622
2,3.0,-4.28094940399e-05,2.86524389377,11.0752854668,13.9405721701
3,4.0,-4.07532332946e-05,2.80890725745,10.6992593024,13.5082073131
4,5.0,-4.84826240891e-05,3.01195122736,12.0842970657,15.0962967757
5,6.0,-3.80584509753e-05,2.73216432014,10.1972436653,12.9294460439
6,7.0,-4.63611553663e-05,2.9584871592,11.7116000254,14.6701335457
7,8.0,-3.93719996658e-05,2.77000435837,10.4433027342,13.2133464646
8,9.0,-4.04713565257e-05,2.80103950534,10.6472502226,13.4483301993
9,10.0,-4.16163583401e-05,2.83277795696,10.8578122261,13.6906317994
10,11.0,-4.1038000041e-05,2.81681933232,10.7516862502,13.5685466205
11,12.0,-4.67051964219e-05,2.9672656399,11.7724022934,14.7397146385
12,13.0,-4.1038000041e-05,2.81681933232,10.7516862502,13.5685466205
13,14.0,-4.1038000041e-05,2.81681933232,10.7516862502,13.5685466205
14,15.0,-3.65655850853e-05,2.68809891173,9.91431334173,12.6024488191
15,16.0,-4.1325695322e-05,2.82477610554,10.8045356683,13.6293530996
16,17.0,-3.93719996658e-05,2.77000435837,10.4433027342,13.2133464646
17,18.0,-4.56840960938e-05,2.94108510225,11.5915241024,14.5326548888
18,19.0,-4.22067474779e-05,2.84891843538,10.9656657446,13.8146263867
19,20.0,-4.1038000041e-05,2.81681933232,10.7516862502,13.5685466205
20,21.0,-3.70534826874e-05,2.70262859563,10.0071747081,12.7098403572
21,22.0,-4.28094940399e-05,2.86524389377,11.0752854668,13.9405721701
22,23.0,-4.19100288933e-05,2.84082527072,10.9115206516,13.7523878324
23,24.0,-4.19100288933e-05,2.84082527072,10.9115206516,13.7523878324
24,25.0,-4.50213972748e-05,2.92388656525,11.4734476997,14.3973792863
25,26.0,-4.50213972748e-05,2.92388656525,11.4734476997,14.3973792863
26,27.0,-4.07532332946e-05,2.80890725745,10.6992593024,13.5082073131
27,28.0,-4.70529808044e-05,2.97609637008,11.8337219912,14.8098654143
28,29.0,-4.1325695322e-05,2.82477610554,10.8045356683,13.6293530996
29,30.0,-4.1038000041e-05,2.81681933232,10.7516862502,13.5685466205
30,31.0,-4.3737525316e-05,2.89008593522,11.2431139581,14.1332436308
31,32.0,-4.43726667374e-05,2.90688799871,11.3573256226,14.264257994
32,33.0,-4.67051964219e-05,2.9672656399,11.7724022934,14.7397146385
33,34.0,-4.46953099642e-05,2.91536250428,11.4151451442,14.3305523438
34,35.0,-5.27572383105e-05,3.11515928285,12.81993215,15.9351441901
35,36.0,-3.78034841847e-05,2.72472003325,10.149173536,12.8739313727
36,37.0,-4.28094940399e-05,2.86524389377,11.0752854668,13.9405721701
37,38.0,-3.93719996658e-05,2.77000435837,10.4433027342,13.2133464646
38,39.0,-5.35931124713e-05,3.13468905184,12.9615319229,16.0962745679
39,40.0,-4.3737525316e-05,2.89008593522,11.2431139581,14.1332436308
40,41.0,-3.80584509753e-05,2.73216432014,10.1972436653,12.9294460439
41,42.0,-5.03605341547e-05,3.0580032543,12.4099088832,15.467962498
42,43.0,-4.3737525316e-05,2.89008593522,11.2431139581,14.1332436308
43,44.0,-4.56840960938e-05,2.94108510225,11.5915241024,14.5326548888
44,45.0,-3.7551021684e-05,2.71731620219,10.1014745969,12.8188283501
45,46.0,-3.7551021684e-05,2.71731620219,10.1014745969,12.8188283501
46,47.0,-3.93719996658e-05,2.77000435837,10.4433027342,13.2133464646
47,48.0,-3.85760273375e-05,2.74717559508,10.2945133974,13.0417275685
48,49.0,-4.34249354766e-05,2.8817575304,11.1867111486,14.0685121039
49,50.0,-3.88387031556e-05,2.75474325912,10.3437210853,13.0985031832
50,51.0,-3.60870876103e-05,2.67372461716,9.82286064554,12.4966213498
51,52.0,-3.73010316354e-05,2.7099524981,10.0541429401,12.7641327392
52,53.0,-3.91040157804e-05,2.76235273108,10.3933161375,13.1557079726
53,54.0,-5.62195852048e-05,3.19477573955,13.4019730261,16.5968049853
54,55.0,-4.95968484281e-05,3.03941448395,12.2779659662,15.317430047
55,56.0,-4.56840960938e-05,2.94108510225,11.5915241024,14.5326548888
56,57.0,-4.34249354766e-05,2.8817575304,11.1867111486,14.0685121039
57,58.0,-4.50213972748e-05,2.92388656525,11.4734476997,14.3973792863
58,59.0,-3.91040157804e-05,2.76235273108,10.3933161375,13.1557079726
59,60.0,-4.31156063708e-05,2.87347698704,11.1307700343,14.0042901369
60,61.0,-3.99161218216e-05,2.78543548797,10.5444675756,13.3299429797
61,62.0,-4.81193278495e-05,3.00290676419,12.0208464342,15.0238013177
62,63.0,-4.46953099642e-05,2.91536250428,11.4151451442,14.3305523438
63,64.0,-4.74045614619e-05,2.98497981759,11.8955651535,14.8805923756
64,65.0,-4.34249354766e-05,2.8817575304,11.1867111486,14.0685121039
65,66.0,-4.07532332946e-05,2.80890725745,10.6992593024,13.5082073131
66,67.0,-4.53509764475e-05,2.93246061755,11.5322388159,14.4647447844
67,68.0,-3.73010316354e-05,2.7099524981,10.0541429401,12.7641327392
68,69.0,-4.1038000041e-05,2.81681933232,10.7516862502,13.5685466205
69,70.0,-4.77599922236e-05,2.99391645591,11.9579378983,14.9519021142
70,71.0,-4.22067474779e-05,2.84891843538,10.9656657446,13.8146263867
71,72.0,-4.46953099642e-05,2.91536250428,11.4151451442,14.3305523438
72,73.0,-3.63251761214e-05,2.68089249699,9.86841274506,12.5493415672
73,74.0,-4.31156063708e-05,2.87347698704,11.1307700343,14.0042901369
74,75.0,-4.53509764475e-05,2.93246061755,11.5322388159,14.4647447844
75,76.0,-4.9221326168e-05,3.03020458749,12.2128502908,15.2431040996
76,77.0,-4.43726667374e-05,2.90688799871,11.3573256226,14.264257994
77,78.0,-4.01923318103e-05,2.7932157046,10.5956544727,13.3889103696
78,79.0,-3.93719996658e-05,2.77000435837,10.4433027342,13.2133464646
79,80.0,-4.67051964219e-05,2.9672656399,11.7724022934,14.7397146385
