GraphNo,Stadd1,aCo,bCo,cCo
1,44,1,56,3136
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
1,0,1,100,10000
