GraphNo,Stadd1,aCo,bCo,cCo
1,639,1,361,130321
1,0,1,1000,1000000
2,691,1,309,95481
2,0,1,1000,1000000
3,651,1,349,121801
3,0,1,1000,1000000
4,644,1,356,126736
4,0,1,1000,1000000
5,668,1,332,110224
5,0,1,1000,1000000
6,634,1,366,133956
6,0,1,1000,1000000
7,662,1,338,114244
7,0,1,1000,1000000
8,639,1,361,130321
8,0,1,1000,1000000
9,643,1,357,127449
9,0,1,1000,1000000
10,647,1,353,124609
10,0,1,1000,1000000
11,645,1,355,126025
11,0,1,1000,1000000
12,663,1,337,113569
12,0,1,1000,1000000
13,645,1,355,126025
13,0,1,1000,1000000
14,645,1,355,126025
14,0,1,1000,1000000
15,628,1,372,138384
15,0,1,1000,1000000
16,646,1,354,125316
16,0,1,1000,1000000
17,639,1,361,130321
17,0,1,1000,1000000
18,660,1,340,115600
18,0,1,1000,1000000
19,649,1,351,123201
19,0,1,1000,1000000
20,645,1,355,126025
20,0,1,1000,1000000
21,630,1,370,136900
21,0,1,1000,1000000
22,651,1,349,121801
22,0,1,1000,1000000
23,648,1,352,123904
23,0,1,1000,1000000
24,648,1,352,123904
24,0,1,1000,1000000
25,658,1,342,116964
25,0,1,1000,1000000
26,658,1,342,116964
26,0,1,1000,1000000
27,644,1,356,126736
27,0,1,1000,1000000
28,664,1,336,112896
28,0,1,1000,1000000
29,646,1,354,125316
29,0,1,1000,1000000
30,645,1,355,126025
30,0,1,1000,1000000
31,654,1,346,119716
31,0,1,1000,1000000
32,656,1,344,118336
32,0,1,1000,1000000
33,663,1,337,113569
33,0,1,1000,1000000
34,657,1,343,117649
34,0,1,1000,1000000
35,679,1,321,103041
35,0,1,1000,1000000
36,633,1,367,134689
36,0,1,1000,1000000
37,651,1,349,121801
37,0,1,1000,1000000
38,639,1,361,130321
38,0,1,1000,1000000
39,681,1,319,101761
39,0,1,1000,1000000
40,654,1,346,119716
40,0,1,1000,1000000
41,634,1,366,133956
41,0,1,1000,1000000
42,673,1,327,106929
42,0,1,1000,1000000
43,654,1,346,119716
43,0,1,1000,1000000
44,660,1,340,115600
44,0,1,1000,1000000
45,632,1,368,135424
45,0,1,1000,1000000
46,632,1,368,135424
46,0,1,1000,1000000
47,639,1,361,130321
47,0,1,1000,1000000
48,636,1,364,132496
48,0,1,1000,1000000
49,653,1,347,120409
49,0,1,1000,1000000
50,637,1,363,131769
50,0,1,1000,1000000
51,626,1,374,139876
51,0,1,1000,1000000
52,631,1,369,136161
52,0,1,1000,1000000
53,638,1,362,131044
53,0,1,1000,1000000
54,687,1,313,97969
